id_colaborador,id_departamento,id_cargo,salario,faixa_salarial,turnover,motivo_desligamento,faltas,absenteismo_pct,dias_afastamento,tipo_afastamento,horas_extras,banco_horas,sla_recrutamento,nota_desempenho,engajamento,horas_treinamento,promovido,ferias_pendentes
1,10,8,3569,R$3.000-6.000,Não,,3,0.9,0,,7,4,58,3.6,87,26,Não,26
2,10,9,7600,R$6.000-10.000,Não,,0,1.76,0,,46,-1,37,4.0,84,6,Não,11
3,2,9,7201,R$6.000-10.000,Não,,0,3.52,10,INSS,16,2,49,2.6,75,20,Não,15
4,6,6,11391,R$10.000-15.000,Não,,1,2.95,5,Acidente,25,-14,18,3.5,82,7,Não,11
5,10,9,7502,R$6.000-10.000,Não,,1,3.91,0,,23,-8,60,4.3,74,31,Não,6
6,2,4,2473,Ate R$3.000,Não,,2,3.32,5,Licença Médica,29,37,37,2.6,84,24,Não,6
7,1,3,4197,R$3.000-6.000,Sim,Fim de Contrato,0,4.22,0,,56,37,21,3.2,71,38,Não,1
8,6,8,3046,R$3.000-6.000,Não,,3,2.0,0,,16,-10,57,3.3,98,15,Não,0
9,7,9,8959,R$6.000-10.000,Não,,1,2.43,0,,28,2,40,3.8,88,29,Não,9
10,7,5,2407,Ate R$3.000,Não,,1,1.77,2,Licença Médica,51,-13,45,3.2,77,37,Não,7
11,2,9,8919,R$6.000-10.000,Não,,3,3.01,5,Licença Médica,24,9,47,2.6,84,37,Não,12
12,2,9,10444,R$10.000-15.000,Não,,2,5.95,5,Licença Médica,20,39,42,3.4,80,20,Não,22
13,7,9,7784,R$6.000-10.000,Não,,2,4.12,10,INSS,24,29,34,3.1,91,23,Não,12
14,7,9,10261,R$10.000-15.000,Não,,0,2.8,15,INSS,44,-15,24,3.1,66,36,Não,0
15,4,3,3881,R$3.000-6.000,Não,,3,2.22,15,Licença Médica,5,-20,56,3.1,77,33,Não,29
16,7,4,2596,Ate R$3.000,Não,,2,4.06,5,INSS,52,-5,35,4.4,69,25,Não,15
17,8,7,18348,Acima de R$15.000,Não,,6,2.46,2,INSS,29,40,60,3.3,57,36,Não,11
18,10,8,4425,R$3.000-6.000,Não,,3,2.37,5,Acidente,43,4,30,2.7,77,35,Não,9
19,2,9,7872,R$6.000-10.000,Não,,1,3.13,15,INSS,47,-2,58,2.8,88,35,Não,11
20,1,9,8167,R$6.000-10.000,Não,,0,2.32,0,,6,10,14,3.6,100,34,Não,22
21,2,9,8540,R$6.000-10.000,Não,,4,3.43,10,Acidente,11,15,15,3.7,77,30,Não,18
22,8,1,5714,R$3.000-6.000,Não,,4,1.94,0,,9,-5,30,3.4,84,10,Não,27
23,7,9,8353,R$6.000-10.000,Não,,2,6.6,15,Licença Médica,56,5,17,3.3,93,27,Não,27
24,10,9,7797,R$6.000-10.000,Não,,3,1.76,5,Licença Médica,16,0,35,2.4,54,24,Não,21
25,4,3,3968,R$3.000-6.000,Sim,Desligamento sem Justa Causa,1,1.42,2,Licença Médica,40,-20,58,2.8,78,39,Não,1
26,10,9,8252,R$6.000-10.000,Não,,1,4.63,0,,33,17,59,3.2,91,33,Não,17
27,10,9,10472,R$10.000-15.000,Não,,3,3.34,2,INSS,33,27,20,1.9,77,22,Não,22
28,2,9,8028,R$6.000-10.000,Não,,2,2.91,0,,7,25,43,2.9,81,13,Não,25
29,6,8,3518,R$3.000-6.000,Não,,3,2.69,15,Licença Médica,46,38,60,3.2,67,6,Não,2
30,1,1,4625,R$3.000-6.000,Não,,3,3.81,15,Licença Médica,59,26,31,2.4,74,33,Não,14
31,6,8,4326,R$3.000-6.000,Não,,1,2.32,0,,41,-12,12,2.3,81,30,Não,7
32,6,6,12141,R$10.000-15.000,Não,,3,1.94,0,,19,-10,45,3.8,84,12,Não,10
33,2,5,2618,Ate R$3.000,Não,,1,4.7,2,Licença Médica,9,35,20,4.6,84,8,Sim,1
34,7,9,7600,R$6.000-10.000,Não,,2,3.34,0,,21,17,42,3.7,66,22,Não,30
35,2,4,2568,Ate R$3.000,Não,,4,4.53,0,,46,-17,31,1.8,88,1,Não,9
36,2,5,2610,Ate R$3.000,Não,,1,0.54,2,Acidente,37,-10,19,3.6,100,39,Não,5
37,7,9,10055,R$10.000-15.000,Não,,1,4.41,0,,45,37,18,3.3,63,28,Não,13
38,1,1,5074,R$3.000-6.000,Não,,3,5.05,0,,0,38,53,3.8,68,23,Não,24
39,2,5,2541,Ate R$3.000,Não,,1,4.36,2,INSS,32,2,60,2.1,75,18,Não,29
40,7,4,2543,Ate R$3.000,Sim,Desligamento sem Justa Causa,1,6.02,0,,28,25,43,2.6,98,32,Não,22
41,9,2,9143,R$6.000-10.000,Sim,Desligamento sem Justa Causa,2,3.1,0,,7,-7,40,2.8,77,17,Não,6
42,6,8,3604,R$3.000-6.000,Não,,3,4.24,5,Acidente,18,-11,39,3.9,88,22,Não,16
43,2,4,1974,Ate R$3.000,Não,,1,2.35,10,Acidente,39,16,34,4.1,79,37,Não,25
44,6,8,3780,R$3.000-6.000,Não,,1,1.59,0,,20,30,45,2.8,100,25,Não,28
45,10,9,10219,R$10.000-15.000,Não,,2,4.5,15,Acidente,48,-19,18,4.0,77,8,Não,7
46,6,8,4392,R$3.000-6.000,Não,,6,1.43,5,Acidente,39,4,21,2.9,67,14,Não,26
