mes,headcount,turnover_pct,absenteismo_pct
2024-08,843,0.24,3.06
2024-09,847,0.71,3.08
2024-10,857,0.82,3.09
2024-11,856,1.29,3.09
2024-12,860,1.52,3.08
2025-01,867,1.75,3.08
2025-02,872,2.1,3.05
2025-03,875,2.68,3.06
2025-04,876,3.02,3.03
2025-05,882,3.13,3.02
2025-06,891,3.35,3.01
2025-07,894,3.8,3.01
2025-08,898,3.78,2.99
2025-09,903,3.87,2.99
2025-10,905,3.97,2.99
2025-11,916,3.83,2.98
2025-12,924,4.15,2.97
2026-01,928,4.35,2.98
2026-02,929,4.77,2.98
2026-03,927,4.52,2.96
2026-04,932,4.72,2.97
2026-05,931,5.14,2.96
2026-06,926,5.34,2.96
2026-07,922,5.43,2.96
