id_colaborador,mes,departamento,nivel_cargo,regional,sexo,tipo_contrato,status,turnover,salario,faltas,absenteismo_pct,horas_extras,nota_desempenho,engajamento
1,2024-08,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,0,0.0,14,3.7,60
1,2024-09,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,8,3.8,60
1,2024-10,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,8,3.5,60
1,2024-11,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,1,0.0,6,3.4,70
1,2024-12,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,1,0.0,0,4.0,72
1,2025-01,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,0,4.3,71
1,2025-02,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,1,0.0,0,3.8,62
1,2025-03,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,3,3.9,63
1,2025-04,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,10,3.9,66
1,2025-05,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,2,4.1,59
1,2025-06,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,2,4.0,63
1,2025-07,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,3,0.21,1,4.0,65
1,2025-08,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,3,0.64,8,3.4,60
1,2025-09,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.0,2,3.5,55
1,2025-10,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,1,0.38,10,4.2,60
1,2025-11,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.24,10,4.0,62
1,2025-12,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.05,8,4.3,58
1,2026-01,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,2,0.76,12,4.4,60
1,2026-02,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,1,0.76,8,4.0,72
1,2026-03,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,3,0.74,11,4.0,72
1,2026-04,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,3,0.39,15,3.8,75
1,2026-05,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,4,0.3,11,3.8,73
1,2026-06,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,3,1.03,8,4.1,78
1,2026-07,Transporte,Operacional,Centro-Oeste,Masculino,CLT,Ativo,Não,3569,3,0.9,7,3.6,87
2,2024-08,Transporte,Tatico,Nordeste,Masculino,Temporário,Ativo,Não,7600,3,3.75,46,3.9,61
2,2024-09,Transporte,Tatico,Nordeste,Masculino,Temporário,Ativo,Não,7600,4,3.83,38,3.5,70
2,2024-10,Transporte,Tatico,Nordeste,Masculino,Temporário,Ativo,Não,7600,5,3.23,36,3.4,71
2,2024-11,Transporte,Tatico,Nordeste,Masculino,Temporário,Ativo,Não,7600,4,3.21,44,3.5,75
2,2024-12,Transporte,Tatico,Nordeste,Masculino,Temporário,Ativo,Não,7600,3,3.03,44,3.9,69
2,2025-01,Transporte,Tatico,Nordeste,Masculino,Temporário,Ativo,Não,7600,3,3.33,33,3.8,73
2,2025-02,Transporte,Tatico,Nordeste,Masculino,Temporário,Ativo,Não,7600,3,3.11,47,3.9,62
